"","OTU","Sample","Abundance","replicate","Description","treatment","material","polymer","timepoint.days.","station","detail","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"2680","asv.1638","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Xylophilus","unassigned"
"2681","asv.1678","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","UCG-008","unassigned"
"2682","asv.1683","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","namnetense"
"2683","asv.1695","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","unassigned"
"2684","asv.1702","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","denitrificans/ferrooxidans/kondratievae/pantotrophus/thiophilus/versutus"
"2685","asv.1751","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rudaea","cellulosilytica"
"2686","asv.1797","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Tepidimonas","arfidensis/fonticaldi"
"2687","asv.1814","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Macellibacteroides","fermentans"
"2688","asv.1840","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Erwinia","unassigned"
"2689","asv.1857","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","unassigned","unassigned"
"2690","asv.1931","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ottowia","unassigned"
"2691","asv.1985","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","acidaminiphila/humi/maltophilia/pavanii"
"2692","asv.2002","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","delafieldii/temperans"
"2693","asv.2010","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","unassigned"
"2694","asv.2067","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerosphaera","taetra"
"2695","asv.2218","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","bouchesdurhonensis"
"2696","asv.2235","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Azotobacter","chroococcum"
"2697","asv.2240","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Family XI","Tissierella","unassigned"
"2698","asv.2243","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","anatolicus/jurassicus/kaue/kaustophilus/lituanicus/stearothermophilus/subterraneus/thermoleovorans/thermoparaffinivorans/uzenensis/vulcani"
"2699","asv.2320","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","beringensis/coreaensis/koreensis/korlensis"
"2700","asv.2324","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Hydrogenophilaceae","Tepidiphilus","margaritifer/succinatimandens"
"2701","asv.2367","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","unassigned","unassigned"
"2702","asv.2369","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","echinoides/oligophenolica/rhizogenes/sanxanigenens"
"2703","asv.2418","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Atopostipes","unassigned"
"2704","asv.2419","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostignum","unassigned"
"2705","asv.2473","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","unassigned"
"2706","asv.2487","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","metallidurans"
"2707","asv.2522","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","baumannii/calcoaceticus/nosocomialis/seifertii"
"2708","asv.2544","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia","insidiosa/pickettii/solanacearum/syzygii"
"2709","asv.2576","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","unassigned"
"2710","asv.2607","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ottowia","unassigned"
"2711","asv.2617","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Atopostipes","unassigned"
"2712","asv.2631","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","gossypii/guangxiensis/paradoxus"
"2713","asv.2669","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter","cryaerophilus"
"2714","asv.2682","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ottowia","konkukae/oryzae"
"2715","asv.2716","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","unassigned"
"2716","asv.2726","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix","unassigned"
"2717","asv.2765","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Tessaracoccus","lapidicaptus"
"2718","asv.2773","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ottowia","unassigned"
"2719","asv.2832","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","mossii/oryzarvi"
"2720","asv.2840","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","alginatilytica"
"2721","asv.2841","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","cf./chloritidismutans/knackmussii/kunmingensis/putida/stutzeri/xanthomarina/zhaodongensis"
"2722","asv.2854","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","arachidis/canariense/iriomotense/japonicum/kavangense/liaoningense/subterraneum/vignae/yuanmingense"
"2723","asv.2855","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium","huakuii/loti"
